name,country,region,address,phone,lat,lon
VALENCIA ZONA IND. NORTE,Venezuela,CARABOBO,"Av. Michelena, C.C ARA Nave ""A"" Local 87-A-421, Valencia, Municipio Valencia, Parroquia Rafael Urdaneta, Zp. 2003",,,
NAGUANAGUA,Venezuela,CARABOBO,"Av. 96b, Sector las Quintas, Local 175-55, Naguanagua. Municipio Naguanagua, Parroquia Naguanagua Zp. 2005",,,
SAN DIEGO,Venezuela,CARABOBO,Av. Intercomunal Don Julio Centeno C.C. Metromarket 2da etapa Local R9 Urb. Complejo Los Jarales Municipio San Diego Parroquia Urbana San Diego Zp. 2006,,,
TOCUYITO,Venezuela,CARABOBO,Vía de Servicio Valencia - Campo de Carabobo Urb. Pocaterra Local Nro.2 Mcpio Libertador Pquia. Tocuyito Zp. 2053,,,
GUACARA,Venezuela,CARABOBO,"Calle Arévalo González, entre calle Páez y calle Carabobo, Centro Comercial Da Vinci Nivel PB Local Nº 5 Zona Guacara. Guacara – Carabobo Zona Postal 2015.",,,
CORO,Venezuela,FALCÓN,"Calle Dominó con esquina calle Democracia, local Colina Nro. PB, Sector Los Claritos Santa Ana de Coro. Edo. Falcón, Zp. 4101",,,
PUNTO FIJO,Venezuela,FALCÓN,"Calle Zamora, esquina calle Paraguay, Edf. Raquel, PB. Sector Centro, Municipio Carirubana. Punto Fijo, Falcón. Zp. 4102",,,
SAN CARLOS,Venezuela,COJEDES,"Av. Bolívar, C.C. Costa Verde, nivel PB, local 4. Sector Centro. San Carlos, Cojedes. Zp. 2201",,,
VALLE DE LA PASCUA,Venezuela,GUARICO,"Calle Atarraya Edificio Guirdanella Plata Baja Local No. 1 Sector Centro, Municipio Leonardo Infante Parroquia Valle de La Pascua Zp. 2350",,,
CALABOZO,Venezuela,GUARICO,"Calle 11, entre carreras 10 y 11, Casa nro. 2. Sector Casco central Calabozo, Guárico. Zp. 2312",,,
ACARIGUA,Venezuela,LARA - YARACUY- PORTUGUESA,"Calle 30 cruce con Avenida 35, CC Páez, Nivel PB, Local 15, sector centro, Acarigua. Estado Portuguesa",,,
GUANARE,Venezuela,LARA - YARACUY- PORTUGUESA,"Av. Corredor Vial Tomas Montilla con Av. Bolívar, C.C Giramara, Nivel PB, Local 13, Barrio Maturín, Guanare - Portuguesa, Zona Postal 3350.",,,
BARQUISIMETO OESTE,Venezuela,LARA - YARACUY- PORTUGUESA,"Barrio Nuevo Calle 59 entre 13 y 13 A N° 13/69 Pquia Concepción, Mcpio Iribarren Barquisimeto Lara Venezuela Zp. 3001",,,
BARQUISIMETO OESTE,Venezuela,LARA - YARACUY- PORTUGUESA,"Av. las Industrias. Centro Comercial Isaac PB, Local N° 3. Al Lado de Transito de Aduana Municipio Iribarren Parroquia Juan de Villegas Bqto, Edo Lara. Zp 3001",,,
BARQUISIMETO OESTE,Venezuela,LARA - YARACUY- PORTUGUESA,"Carrera 19 entre calles 46 y 47, Barquisimeto, estado Lara.",,,
BARQUISIMETO ESTE,Venezuela,LARA - YARACUY- PORTUGUESA,"Carrera 24 entre calle 6 y Av. Morán. Parroquia Catedral, Municipio Iribarren, Barquisimeto Estado Lara. Zp. 3001",,,
BARQUISIMETO SUR,Venezuela,LARA - YARACUY- PORTUGUESA,"Carrera 22, entre calles 14 y 15, Local Nº 1, Sector Centro Barquisimeto Estado Lara, Zona Postal 3001.",,,
CABUDARE,Venezuela,LARA - YARACUY- PORTUGUESA,"Av. Santa Barbara con calle Guillermo Alvizu local nro. 2, conjunto residencial Santa Barbara, Sector centro Cabudare. Edo. Lara Zp 3001.",,,
CARORA,Venezuela,LARA - YARACUY- PORTUGUESA,"Calle José Luis Andrade, entre Calle Carabobo y Av. Francisco de Miranda, Local Nro. 3, Zona Centro Carora Lara, Zona Postal 3050.",,,
SAN FELIPE,Venezuela,LARA - YARACUY- PORTUGUESA,"Calle 16 entre avenidas 5 y 6, local nro.3 Sector Centro San Felipe, Estado Yaracuy. Zp 3201",,,
MÉRIDA,Venezuela,MÉRIDA,"Urb. Universitaria, Calle 40 Humboldt, entre Av. Urdaneta y Gonzalo Picón, Casa N° 3-61. Mcpio Libertador. Mérida Edo. Mérida.",,,
EL VIGÍA,Venezuela,MÉRIDA,"Calle 9, casa nro. 19-38, barrio San Isidro, El Vigía, Edo. Mérida. Zp. 5145.",,,
MATURÍN ESTE,Venezuela,MONAGAS - DELTA AMACURO,"Calle Florida, C.C Juanico este, PB local 03.",,,
TUCUPITA,Venezuela,MONAGAS - DELTA AMACURO,"Avenida Arismendi, Local N° 75, Sector Centro, Parroquia San José, Municipio Tucupita del Estado Delta Amacuro",,,
PORLAMAR / LOS ROBLES,Venezuela,NUEVA ESPARTA,"Av. Circunvalación Norte, Calle Los Olivos, Centro Comercial La Redoma, Nivel PB, Local 12, Sector La Vega El Pilar (Los Robles) Nueva Esparta Zona Postal 6316",,,
JUAN GRIEGO,Venezuela,NUEVA ESPARTA,"Centro comercial La Estancia, Av. Intercomunal de Juan Griego, Urbanización Nvo. Juan Griego, Local nro. E-12.",,,
COCHEIMA,Venezuela,NUEVA ESPARTA,"Local 4, edificio D, planta baja. Inversiones Mamá Lencha, Sector Cocheima. Nueva Esparta, Código Postal 6301.",,,
UREÑA,Venezuela,TÁCHIRA,"Barrio La Guajira Calle 5 Casa N° 5-13, Edificio Sofi P.B. Local 103, Ureña Edo. Táchira. País Venezuela Zp. 5048",,,
SAN CRISTÓBAL,Venezuela,TÁCHIRA,Sector San Cristóbal Local C. Av. Cuatricentenaria Local N° H 40 Frente a la Torre FIAT San Cristóbal Parroquia San Sebastián,,,
SAN CRISTÓBAL (TÁRIBA),Venezuela,TÁCHIRA,"Carrera 4, entre calle 4 y 5, casa Nº 4-51, Ciudad de Táriba, Municipio Cárdenas, Estado Táchira.",,,
CAPACHO,Venezuela,TÁCHIRA,"Sector Villa Vista, Carrera 5 con N ° 3-48, Municipio Capacho Nuevo, Estado Táchira",,,
